"cod_setor","situacao_setor","homens_soma","mulheres_soma","total","homens_percentual","mulheres_percentual","domicilio"
"250010605000001","1","277","157","434","63.824884792626726","36.1751152073732740","HOMEM"
"250010605000002","1","89","59","148","60.135135135135140","39.8648648648648600","HOMEM"
"250010605000003","1","156","139","295","52.881355932203390","47.1186440677966100","HOMEM"
"250010605000004","8","173","44","217","79.723502304147460","20.2764976958525340","HOMEM"
"250010605000005","5","102","97","199","51.256281407035175","48.7437185929648250","HOMEM"
"250010605000006","8","69","88","157","43.949044585987260","56.0509554140127400","MULHER"
"250010605000007","8","67","31","98","68.367346938775510","31.6326530612244880","HOMEM"
"250010605000008","8","101","30","131","77.099236641221370","22.9007633587786260","HOMEM"
"250010605000009","8","137","44","181","75.690607734806630","24.3093922651933700","HOMEM"
"250010605000010","8","114","30","144","79.166666666666670","20.8333333333333320","HOMEM"
"250010605000011","1","213","117","330","64.545454545454550","35.4545454545454500","HOMEM"
"250010605000012","5","36","13","49","73.469387755102050","26.5306122448979600","HOMEM"
"250010605000013","5","24","14","38","63.157894736842100","36.8421052631579000","HOMEM"
"250010605000014","8","100","38","138","72.463768115942030","27.5362318840579730","HOMEM"
"250020505000001","1","193","120","313","61.661341853035150","38.3386581469648500","HOMEM"
"250020505000002","1","153","83","236","64.830508474576280","35.1694915254237300","HOMEM"
"250020505000003","8","80","21","101","79.207920792079210","20.7920792079207930","HOMEM"
"250020505000004","8","76","9","85","89.411764705882350","10.5882352941176470","HOMEM"
"250020505000005","8","32","3","35","91.428571428571430","8.5714285714285710","HOMEM"
"250020505000006","8","113","39","152","74.342105263157890","25.6578947368421060","HOMEM"
"250020505000007","8","100","25","125","80.000000000000000","20.0000000000000000","HOMEM"
"250020505000008","8","53","6","59","89.830508474576280","10.1694915254237280","HOMEM"
"250020505000009","8","161","68","229","70.305676855895200","29.6943231441048030","HOMEM"
"250020505000010","8","9","1","10","90.000000000000000","10.0000000000000000","HOMEM"
"250020505000011","1","203","111","314","64.649681528662430","35.3503184713375800","HOMEM"
"250030405000001","1","128","108","236","54.237288135593220","45.7627118644067800","HOMEM"
"250030405000002","1","180","165","345","52.173913043478260","47.8260869565217400","HOMEM"
"250030405000003","1","174","120","294","59.183673469387756","40.8163265306122440","HOMEM"
"250030405000004","1","72","62","134","53.731343283582090","46.2686567164179100","HOMEM"
"250030405000005","1","116","62","178","65.168539325842700","34.8314606741573060","HOMEM"
"250030405000006","1","79","76","155","50.967741935483870","49.0322580645161300","HOMEM"
"250030405000007","1","135","67","202","66.831683168316830","33.1683168316831700","HOMEM"
"250030405000008","1","145","96","241","60.165975103734440","39.8340248962655600","HOMEM"
"250030405000009","1","191","126","317","60.252365930599370","39.7476340694006300","HOMEM"
"250030405000010","1","186","174","360","51.666666666666664","48.3333333333333360","HOMEM"
"250030405000011","1","32","102","134","23.880597014925375","76.1194029850746300","MULHER"
"250030405000012","1","132","55","187","70.588235294117650","29.4117647058823500","HOMEM"
"250030405000013","1","102","60","162","62.962962962962960","37.0370370370370400","HOMEM"
"250030405000014","1","20","51","71","28.169014084507044","71.8309859154929600","MULHER"
"250030405000015","1","177","150","327","54.128440366972480","45.8715596330275200","HOMEM"
"250030405000016","8","127","162","289","43.944636678200695","56.0553633217993050","MULHER"
"250030405000017","8","29","3","32","90.625000000000000","9.3750000000000000","HOMEM"
"250030405000018","5","252","122","374","67.379679144385020","32.6203208556149700","HOMEM"
"250030405000019","5","105","40","145","72.413793103448270","27.5862068965517220","HOMEM"
"250030405000020","8","79","23","102","77.450980392156860","22.5490196078431400","HOMEM"
"250030405000021","8","53","38","91","58.241758241758240","41.7582417582417600","HOMEM"
"250030405000022","8","35","26","61","57.377049180327866","42.6229508196721340","HOMEM"
"250030405000023","8","43","21","64","67.187500000000000","32.8125000000000000","HOMEM"
"250030405000024","8","6","0","6","100.000000000000000","0.0000000000000000","HOMEM"
"250030405000025","8","46","67","113","40.707964601769910","59.2920353982300900","MULHER"
"250030405000026","8","6","2","8","75.000000000000000","25.0000000000000000","HOMEM"
"250030405000027","8","52","22","74","70.270270270270270","29.7297297297297300","HOMEM"
"250030405000028","8","151","38","189","79.894179894179900","20.1058201058201040","HOMEM"
"250030405000029","8","109","39","148","73.648648648648650","26.3513513513513500","HOMEM"
"250030405000030","5","216","79","295","73.220338983050850","26.7796610169491520","HOMEM"
"250030405000031","5","60","282","342","17.543859649122810","82.4561403508771900","MULHER"
"250030405000032","8","75","28","103","72.815533980582530","27.1844660194174740","HOMEM"
"250030405000033","8","62","17","79","78.481012658227850","21.5189873417721530","HOMEM"
"250030405000034","8","51","43","94","54.255319148936174","45.7446808510638260","HOMEM"
"250030405000035","8","60","9","69","86.956521739130440","13.0434782608695650","HOMEM"
"250030405000036","8","173","24","197","87.817258883248730","12.1827411167512680","HOMEM"
"250030405000037","1","86","96","182","47.252747252747255","52.7472527472527450","MULHER"
"250030405000038","1","120","85","205","58.536585365853660","41.4634146341463400","HOMEM"
"250030405000039","1","119","89","208","57.211538461538460","42.7884615384615400","HOMEM"
"250030405000040","1","209","133","342","61.111111111111114","38.8888888888888860","HOMEM"
"250030405000041","1","92","86","178","51.685393258426960","48.3146067415730400","HOMEM"
"250030405000042","1","144","88","232","62.068965517241380","37.9310344827586200","HOMEM"
"250030405000043","1","99","97","196","50.510204081632650","49.4897959183673500","HOMEM"
"250030405000044","1","109","142","251","43.426294820717130","56.5737051792828700","MULHER"
